symbol	S1	S3	S4	S7	S8	S9	S6	R1	R3	R4	R6	R7	R9	R5	avgCounts	foldChange	log2FoldChange	pvalue	padj	log10padj	Tier
GLA	310.118268622668	510.585352772529	148.177499517548	310.190946870811	558.882432951568	178.450479061734	191.948995024625	166.453801517162	138.605499977435	228.535842927307	170.986179594407	112.728551267211	161.136832755413	248.241787824217	245.360176477474	0.554643757936895	-0.850366654369625	0.008811092231955	0.121146913168873	0.916687647236787	NonDEG
GTF2F2	378.295937652689	352.797450521779	266.804547691416	409.135484463738	237.225062351695	271.757536827191	265.888210980754	546.84590741574	385.96365499965	345.363019775572	340.196714960016	418.388411044332	577.833447128849	552.033166306925	382.037753722882	1.4516516183762	0.537695262736818	0.008803363343792	0.121146913168873	0.916687647236787	NonDEG
DEDD	412.124127138352	378.177728122656	416.679266596745	416.081327440613	309.925722105307	387.911222070159	338.621129558742	535.607376636853	440.172510195642	446.95822941664	491.590563749371	408.689449312032	575.882255685843	537.232132048843	435.403788576986	1.29200518443171	0.369611859148642	0.008836879064552	0.12134708011514	0.915970669312591	NonDEG
CTNS	50.0750642253971	61.7949974374641	49.0949781436881	28.8404189495999	63.9158056080811	50.2845157317198	72.9812964989138	23.7447919974622	45.9392006864769	27.6835164792135	32.2104470931513	40.1194672676675	33.3375424006298	24.8416223659382	43.2045474918145	0.601639694773769	-0.733028339101802	0.008868907378086	0.121478177484132	0.915501732349114	NonDEG
LDB2	158.707266047661	26.0693200831958	130.3044677242	49.1285152743874	168.072800202123	184.710850321931	78.5520020745105	78.1780262291923	18.9280272685072	19.8775393163595	37.5452449863975	27.7787445499652	96.3200353713453	57.1463609884513	80.8085143170162	0.419345829414911	-1.25378758701037	0.008864721487605	0.121478177484132	0.915501732349114	NonDEG
PHF17	98.7112722068931	71.6454611790193	95.3719823798952	103.459391064315	87.6913097870878	113.255973378846	98.6132726439315	130.024514614934	140.317312650867	134.485449246098	129.140312621332	141.034092080087	100.243601217107	137.772304353242	112.983303530261	1.36399729747975	0.447840785918959	0.008934022873754	0.122215171135016	0.912874879762374	NonDEG
SAR1B	205.012386904155	406.198813403603	142.92819986658	124.393597513916	129.534549976996	185.870222780195	193.709414390744	108.357088566242	89.0482927905611	83.7016322982107	93.766064869795	188.091113702333	84.3601981055496	143.139808329655	155.57938453561	0.569744903184381	-0.811611981379251	0.008952738031418	0.122316358919759	0.912515455363825	NonDEG
C10orf2	85.7048000655352	57.8385205488835	79.1352957441266	128.217631476874	34.9452159920771	32.7883676675601	103.425347669483	45.319404171955	227.96113567371	220.716539805903	116.781861122545	191.64342131268	147.932873764539	104.739133850076	112.653539204711	2.02773006766746	1.01986561291476	0.008996376375671	0.122351099690058	0.912392122861618	NonDEG
FABP4	268.678238340737	5.18270252677299	206.177278829639	24.396083684255	34.3467980236148	57.6311912021151	40.0323463021492	3.7862256409526	0.715242459936386	3.74898419866185	30.5312497508623	25.6462095135169	34.2168120841235	43.7703525382047	55.6328367925387	0.218994510667385	-2.19103338730838	0.008969063574471	0.122351099690058	0.912392122861618	NonDEG
SENP7	112.701729782449	63.6598514082144	104.701568631043	96.7812163429794	58.455968498549	108.660499368228	101.500095868582	163.955317565461	103.464651244428	88.4270371197085	147.013361238454	132.88568557025	237.496239204929	171.652935526798	120.811154097862	1.61378425993046	0.690447723639123	0.009000566693217	0.122351099690058	0.912392122861618	NonDEG
